Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 11,Supercell Structure,Module 6 Supercell Structure,Supercell Structure,,00:07:03,00:11:41,3,4
Lecture 11,Tornado Definition,Module 6 Tornado Definition,Tornado Definition,,00:15:25,00:17:40,8,8
Lecture 11,Parts of a Tornado,Module 6 Parts of a Tornado,Parts of a Tornado,,00:20:35,00:25:19,10,11
Lecture 11,Tornado Life Cycle,Module 6 Tornado Life Cycle,Tornado Life Cycle,,00:27:56,00:30:48,14,14
Lecture 11,Tornado Damage,Module 6 Tornado Damage,Tornado Damage,,00:40:08,00:44:37,21,22
Lecture 11,Tornadogenesis,Module 6 Tornadogenesis,Tornadogenesis,,00:44:39,00:48:52,23,26
Lecture 11,Lightning,Module 6 Lightning,Lightning,,00:49:02,00:51:20,27,27
Lecture 11,Thunder,Module 6 Thunder,Thunder,,00:53:26,00:55:25,29,29
Lecture 11,Doppler Radar,Module 6 Doppler Radar I,Doppler Radar,,1:06:38,1:11:12,39,41
Lecture 11,Doppler Radar,Module 6 Doppler Radar II,Doppler Radar,,1:13:58,1:16:19,43,45
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
